feature,importance
x_32,0.14221855996307284
x_36,0.05814963025354889
x_31,0.035148027977254415
x_73,0.029220684447101807
x_14,0.028151382206907608
x_62,0.023783946061673073
x_93,0.018583157446436536
x_95,0.018344802157994552
x_28,0.01458996040057739
x_30,0.014359402030326488
x_55,0.01435439126331727
x_94,0.013984350681859574
x_67,0.013570331370384572
x_37,0.013467404403221927
x_25,0.012780154730728514
x_35,0.012730721668213003
x_33,0.012330684132755652
x_16,0.012312943627529282
x_41,0.011996102645379227
x_11,0.011418403984972849
x_54,0.011003739863492524
x_56,0.0108081220108622
x_42,0.010581839190463134
x_22,0.010244000795566904
x_57,0.010010484077317406
x_88,0.00969088476995353
x_61,0.009417735072531054
x_10,0.009201228685893657
x_26,0.00907957590864059
x_19,0.009022634136613644
x_04,0.008944715919165867
x_21,0.008457332582357435
x_29,0.008185675677024058
x_06,0.008119032523315365
x_53,0.007745099619320217
x_03,0.007742098560550829
x_84,0.0076147378254659065
x_34,0.007562207320159539
x_51,0.007475764115476761
x_75,0.007412403007983863
x_43,0.007370458316362986
x_91,0.007247620186658148
x_64,0.007193364909232718
x_66,0.0071593118056969395
x_40,0.007137822272920883
x_01,0.007012336242086422
x_52,0.006802336081405673
x_47,0.006669100708911379
x_76,0.0065693867788566
x_78,0.006510467117614882
x_68,0.006501016576617353
x_13,0.006443099702200702
x_82,0.00642628400770474
x_24,0.0063762861619964875
x_59,0.006286149043514091
x_44,0.0061079169809917675
x_65,0.006072331839569452
x_74,0.006034044404738522
x_87,0.005935310943203326
x_92,0.0058787549773020465
x_02,0.005872696333191673
x_20,0.005860489233150203
x_23,0.005832427993200642
x_39,0.005826987592554559
x_90,0.005824995000904362
x_70,0.005736997319320332
x_80,0.005732075078212382
x_09,0.005624580144230751
x_45,0.005606355779238111
x_18,0.00560530320797295
x_60,0.005412650730296407
x_69,0.00536615350993119
x_63,0.00530482606285734
x_86,0.005110701198956385
x_15,0.005080050201800043
x_12,0.004843805944469564
x_17,0.0048135868413412344
x_38,0.004783067744934425
x_48,0.0047180015481152115
x_71,0.004717789337859028
x_79,0.004646778908776824
x_58,0.0045701317513602594
x_81,0.004529878424186065
x_46,0.0045048477392201245
x_77,0.004367407297984131
x_83,0.004221609549511587
x_49,0.004157925886266777
x_05,0.004157378137338002
x_50,0.003974282201788581
x_07,0.0038927717486690657
x_27,0.003873691763316075
x_72,0.0038065109653817675
x_85,0.0034653276033999934
C_05,0.0034547441636817
x_89,0.003375286341956889
x_08,0.0028896504231106196
C_03,0.002650602111027538
C_04,0.0021337099976327396
C_01,0.002106172009859238
C_02,0.0
